,Actual_Data,New_Prediction,Error
763,256,307.07185909561036,-51.071859095610364
600,251,254.5610243076548,-3.5610243076548045
40,212,211.2383247241745,0.7616752758254961
544,294,282.1850023959837,11.814997604016298
292,269,308.8597524684736,-39.85975246847357
756,324,267.2055239757829,56.79447602421709
505,196,196.8015423103219,-0.8015423103219064
550,242,226.2957871097268,15.704212890273197
334,182,181.03785489396373,0.9621451060362745
824,138,126.33471714434461,11.665282855655391
246,329,329.01435125871484,-0.014351258714839332
708,163,168.28089862344632,-5.280898623446319
552,306,309.2274314289671,-3.2274314289671224
644,285,269.78637139623373,15.213628603766267
105,232,241.1533431570604,-9.153343157060391
790,179,182.59738803160334,-3.5973880316033444
144,264,263.0466769135546,0.9533230864453799
119,317,308.676948442172,8.323051557828023
388,320,361.32469604635884,-41.32469604635884
1007,373,343.69592449222245,29.304075507777554
433,297,280.3905891175008,16.60941088249922
434,347,305.7466601743316,41.25333982566838
531,269,269.8022560561828,-0.8022560561827845
411,207,206.58030151351647,0.4196984864835258
1055,281,247.03800261704347,33.961997382956525
917,274,268.1514153027959,5.848584697204103
197,179,177.2128811213273,1.7871188786726862
402,165,227.49203109103144,-62.492031091031436
46,354,337.08254125410974,16.917458745890258
252,172,171.2982330102199,0.7017669897801113
717,168,176.03580646421136,-8.035806464211362
740,235,248.26665645578075,-13.266656455780748
722,216,210.09894258147824,5.901057418521759
151,246,231.4518323373335,14.548167662666486
354,264,263.2815570543979,0.718442945602078
29,224,214.26126396534738,9.738736034652618
48,336,310.37557011899406,25.624429881005938
527,248,257.8236631080301,-9.823663108030075
190,242,250.00101784446804,-8.001017844468038
339,179,181.34974259888122,-2.349742598881221
1004,329,317.0943385354279,11.90566146457212
4,244,254.29488844085986,-10.294888440859864
483,200,205.9488405706802,-5.948840570680204
1002,322,299.86094803031324,22.13905196968676
488,161,164.47022490248307,-3.470224902483068
149,228,216.94592395290584,11.054076047094156
867,237,251.4455785603579,-14.445578560357887
539,175,210.65450533282578,-35.65450533282578
76,193,191.33360937779773,1.6663906222022717
192,292,313.93717362449144,-21.937173624491436
346,360,377.426567240685,-17.426567240685017
835,269,268.878762460345,0.12123753965499873
608,196,196.8015423103219,-0.8015423103219064
866,246,254.71590289373435,-8.715902893734352
1061,258,260.2251036784677,-2.22510367846769
496,172,172.7807585837853,-0.7807585837853139
1040,186,162.20135980000185,23.798640199998147
726,242,253.91729923285172,-11.917299232851718
437,380,342.6844262751709,37.31557372482911
879,246,259.04560781504335,-13.045607815043354
572,248,253.9628550104765,-5.962855010476488
473,338,333.7806377593986,4.219362240601413
506,304,307.3538800536516,-3.353880053651608
101,232,241.1533431570604,-9.153343157060391
1059,235,244.84700853656759,-9.847008536567586
170,260,262.0574818146262,-2.0574818146262146
63,292,271.98962960867635,20.010370391323647
745,235,246.7706942884734,-11.770694288473408
648,331,359.3754987948484,-28.375498794848397
253,191,192.01082215875658,-1.0108221587565822
1024,197,172.86447527958347,24.135524720416527
325,250,305.2096137812784,-55.20961378127839
634,361,344.9930696659345,16.006930334065487
443,380,340.61599553639394,39.38400446360606
767,278,294.07537676342804,-16.07537676342804
690,347,316.12432425658835,30.875675743411648
953,258,242.2909301994439,15.709069800556108
223,414,340.2761482656647,73.72385173433531
